GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-api,com.minidooray.accountapi.response,ResponseAccountDto.ResponseAccountDtoBuilder,18,63,0,0,0,1,1,10,1,10
account-api,com.minidooray.accountapi.response,ResponseAccountDto,18,90,0,0,1,12,1,19,1,19
account-api,com.minidooray.accountapi.request,RequestAccountDto,267,56,62,0,3,9,36,15,5,15
account-api,com.minidooray.accountapi.entity,Account,5,62,0,0,1,15,1,15,1,15
account-api,com.minidooray.accountapi.entity,AccountStatus.VoidBuilder,21,0,0,0,1,0,4,0,4,0
account-api,com.minidooray.accountapi.entity,AccountStatus,23,25,0,0,7,6,6,7,6,7
account-api,com.minidooray.accountapi.entity,AdditionalInfo,14,28,0,0,4,7,4,7,4,7
account-api,com.minidooray.accountapi.entity,QAccountStatus,18,62,0,2,4,12,2,5,2,4
account-api,com.minidooray.accountapi.entity,Account.VoidBuilder,39,0,0,0,1,0,6,0,6,0
account-api,com.minidooray.accountapi.entity,QAccount,18,82,0,4,4,14,2,6,2,4
account-api,com.minidooray.accountapi.entity,QAdditionalInfo,18,60,0,2,4,12,2,5,2,4
account-api,com.minidooray.accountapi.controller,AccountController,0,99,0,2,0,23,0,15,0,14
account-api,com.minidooray.accountapi.service.impl,AccountServiceImpl,139,480,19,17,38,139,19,16,2,15
account-api,com.minidooray.accountapi,AccountApiApplication,5,3,0,0,2,1,1,1,1,1
